event_id,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,severity_score,threat_match,mitre_id,technique_name,tactic,risk_score,is_high_risk
EVT-1001,2026-07-30T01:12:00Z,192.168.1.45,10.0.0.12,admin,Brute Force,SSH,CN,US,srv-db-01,Ubuntu 22.04,Blocked,Critical,12,false,CVE-2023-38606,9.8,Database-Server-01,IT,9.8,True,T1110,Brute Force,Credential Access,95,true
EVT-1002,2026-07-30T01:15:22Z,192.168.1.102,10.0.0.15,jsmith,Phishing Link,HTTPS,RU,US,workstation-42,Windows 11,Flagged,High,0,true,CVE-2023-23397,8.1,Finance-PC-42,Finance,8.1,True,T1566,Phishing,Initial Access,82,true
EVT-1003,2026-07-30T01:18:05Z,172.16.0.8,10.0.0.5,mrodriguez,Unusual Login,Kerberos,US,US,auth-srv-01,Windows Server 2022,Success,Low,0,false,,0.0,Domain-Controller,IT,2.1,False,T1078,Valid Accounts,Persistence,15,false
EVT-1004,2026-07-30T01:22:40Z,192.168.2.88,10.0.0.8,dlee,Malware Execution,HTTP,KP,US,exec-laptop-03,macOS Sonoma,Quarantined,Critical,0,true,CVE-2024-21412,9.0,Executive-Mac-03,Management,9.4,True,T1204,User Execution,Execution,91,true
EVT-1005,2026-07-30T01:25:11Z,10.0.4.12,10.0.0.1,system,Port Scan,TCP,IR,US,firewall-internal,Linux,Logged,Medium,0,false,,4.5,Core-Router,Infrastructure,5.0,False,T1046,Network Service Discovery,Discovery,48,false
EVT-1006,2026-07-30T01:30:00Z,192.168.1.55,10.0.0.22,akhan,SQL Injection,HTTP,US,US,web-app-01,Ubuntu 20.04,Blocked,High,0,false,CVE-2022-26134,8.5,Web-Frontend,Engineering,8.5,True,T1190,Exploit Public-Facing Application,Initial Access,78,true
EVT-1007,2026-07-30T01:34:19Z,192.168.3.14,10.0.0.99,guest_user,Unauthorized Access,SMB,US,US,file-share-02,Windows Server 2019,Denied,Medium,3,false,,3.2,Shared-Storage,HR,4.1,False,T1021,Remote Services,Lateral Movement,38,false
EVT-1008,2026-07-30T01:40:02Z,185.220.101.5,10.0.0.12,root,Ransomware Activity,SMB2,RU,US,srv-db-01,Ubuntu 22.04,Alerted,Critical,0,true,CVE-2021-44228,10.0,Database-Server-01,IT,10.0,True,T1486,Data Encrypted for Impact,Impact,99,true
EVT-1009,2026-07-30T01:45:50Z,192.168.1.200,10.0.0.15,jsmith,Privilege Escalation,Local,US,US,workstation-42,Windows 11,Investigating,High,0,false,CVE-2023-36884,7.8,Finance-PC-42,Finance,7.8,True,T1068,Exploitation for Privilege Escalation,Privilege Escalation,75,true
EVT-1010,2026-07-30T01:50:12Z,10.0.2.15,10.0.0.50,svc_backup,Data Exfiltration,DNS,US,US,backup-node,CentOS 8,Detected,High,0,false,,6.5,Backup-Storage,Operations,7.2,True,T1048,Exfiltration Over Alternative Protocol,Exfiltration,79,true
EVT-1011,2026-07-30T01:55:01Z,192.168.1.18,10.0.0.5,bwilson,Failed Login,LDAP,US,US,auth-srv-01,Windows Server 2022,Failed,Low,5,false,,0.0,Domain-Controller,IT,2.5,False,T1110,Brute Force,Credential Access,22,false
EVT-1012,2026-07-30T02:01:33Z,192.168.1.45,10.0.0.12,admin,Brute Force,SSH,CN,US,srv-db-01,Ubuntu 22.04,Blocked,Critical,25,false,CVE-2023-38606,9.8,Database-Server-01,IT,9.8,True,T1110,Brute Force,Credential Access,96,true
EVT-1013,2026-07-30T02:08:44Z,192.168.4.10,10.0.0.100,tchen,Suspicious PowerShell,WinRM,US,US,dev-box-09,Windows 11,Blocked,High,0,false,CVE-2022-30190,7.8,Dev-Workstation,Engineering,7.9,True,T1059,Command and Scripting Interpreter,Execution,74,true
EVT-1014,2026-07-30T02:12:10Z,10.0.0.55,10.0.0.1,monitor,ICMP Flood,ICMP,US,US,firewall-internal,Linux,Mitigated,Medium,0,false,,2.0,Core-Router,Infrastructure,3.0,False,T1498,Network Denial of Service,Impact,28,false
EVT-1015,2026-07-30T02:18:25Z,192.168.1.99,10.0.0.12,db_admin,DDoS Attempt,UDP,RO,US,srv-db-01,Ubuntu 22.04,Mitigated,High,0,false,,6.8,Database-Server-01,IT,7.0,False,T1498,Network Denial of Service,Impact,71,true
EVT-1016,2026-07-30T02:22:11Z,192.168.2.12,10.0.0.88,eparker,Zero-Day Exploit,HTTPS,US,US,mail-srv-01,Exchange 2019,Quarantined,Critical,0,true,CVE-2024-21410,9.8,Mail-Server,Operations,9.7,True,T1190,Exploit Public-Facing Application,Initial Access,98,true
